parts,hscode,JTAS_code,country,country_code,import_unit,import_value,year,GDP,GDPjp,toprunner,distance
1,8418.61-090,'601,Australia,AUS,20,317,1988,,,,
1,8418.99-000,'601,Australia,AUS,739,1044,1988,,,,
1,8418.61-019,'225,Austria,AUT,28427,100428,1988,,,,
1,8418.61-090,'225,Austria,AUT,3021,2724,1988,,,,
1,8418.69-010,'225,Austria,AUT,9161,7203,1988,,,,
1,8418.69-091,'225,Austria,AUT,65,321,1988,,,,
1,8418.61-019,'302,Canada,CAN,153660,475937,1988,,,,
1,8418.69-091,'302,Canada,CAN,85,384,1988,,,,
1,8418.69-092,'302,Canada,CAN,270,1996,1988,,,,
1,8418.99-000,'302,Canada,CAN,85,388,1988,,,,
1,8418.61-019,'105,China,CHN,51250,10990,1988,,,,
1,8418.69-091,'105,China,CHN,35,403,1988,,,,
1,8418.61-019,'204,Denmark,DNK,448,1034,1988,,,,
1,8418.69-010,'204,Denmark,DNK,254,315,1988,,,,
1,8418.69-020,'204,Denmark,DNK,32310,96425,1988,,,,
1,8418.69-091,'204,Denmark,DNK,38,378,1988,,,,
1,8418.69-092,'204,Denmark,DNK,10880,26099,1988,,,,
1,8418.99-000,'204,Denmark,DNK,7555,39779,1988,,,,
1,8418.69-099,'222,Finland,FIN,5590,12404,1988,,,,
1,8418.61-011,'210,France,FRA,2800,8105,1988,,,,
1,8418.61-019,'210,France,FRA,10786,24715,1988,,,,
1,8418.61-090,'210,France,FRA,6735,16273,1988,,,,
1,8418.69-010,'210,France,FRA,3712,9128,1988,,,,
1,8418.69-020,'210,France,FRA,440,3274,1988,,,,
1,8418.69-091,'210,France,FRA,204,679,1988,,,,
1,8418.69-092,'210,France,FRA,6137,22412,1988,,,,
1,8418.69-099,'210,France,FRA,132722,242381,1988,,,,
1,8418.99-000,'210,France,FRA,5614,25539,1988,,,,
1,8418.61-011,'213,Germany,DEU,1428,5829,1988,,,,
1,8418.61-019,'213,Germany,DEU,22325,100496,1988,,,,
1,8418.61-090,'213,Germany,DEU,9163,33356,1988,,,,
1,8418.69-010,'213,Germany,DEU,816,5371,1988,,,,
1,8418.69-020,'213,Germany,DEU,4226,25037,1988,,,,
1,8418.69-099,'213,Germany,DEU,101141,660063,1988,,,,
1,8418.99-000,'213,Germany,DEU,4474,26879,1988,,,,
1,8418.61-019,'108,"Hong Kong SAR, China",HKG,280,762,1988,,,,
1,8418.61-090,'108,"Hong Kong SAR, China",HKG,100,300,1988,,,,
1,8418.69-010,'108,"Hong Kong SAR, China",HKG,60945,60118,1988,,,,
1,8418.69-020,'108,"Hong Kong SAR, China",HKG,265,1119,1988,,,,
1,8418.69-099,'108,"Hong Kong SAR, China",HKG,3120,8942,1988,,,,
1,8418.99-000,'108,"Hong Kong SAR, China",HKG,27392,11615,1988,,,,
1,8418.99-000,'123,India,IND,24,554,1988,,,,
1,8418.61-011,'206,Ireland,IRL,277,14447,1988,,,,
1,8418.61-019,'206,Ireland,IRL,6138,13771,1988,,,,
1,8418.61-090,'206,Ireland,IRL,61,2741,1988,,,,
1,8418.69-091,'206,Ireland,IRL,54,930,1988,,,,
1,8418.61-019,'220,Italy,ITA,22260,84053,1988,,,,
1,8418.61-090,'220,Italy,ITA,6088,19956,1988,,,,
1,8418.69-010,'220,Italy,ITA,813,1896,1988,,,,
1,8418.69-020,'220,Italy,ITA,136986,486745,1988,,,,
1,8418.69-091,'220,Italy,ITA,745,5860,1988,,,,
1,8418.69-092,'220,Italy,ITA,2648,5016,1988,,,,
1,8418.69-099,'220,Italy,ITA,24492,84105,1988,,,,
1,8418.99-000,'220,Italy,ITA,7269,38344,1988,,,,
1,8418.61-090,'209,Luxembourg,LUX,54,259,1988,,,,
1,8418.69-010,'209,Luxembourg,LUX,24366,40325,1988,,,,
