Country Name,Country Code,Series Name,Series Code,1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1.26207E+11,76636898036,1.41352E+11,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.54861E+11,6.3759E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,..,..,2256838858,2068526522,1272577456,1201313201,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11536590636
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,2.357E+11,2.99318E+11,3.10838E+11,3.25358E+11,3.24878E+11,3.11529E+11,3.22201E+11,3.67216E+11,4.00303E+11,4.34568E+11,3.98899E+11,3.88395E+11,4.15034E+11,3.78215E+11,3.94487E+11,4.66295E+11,6.11904E+11,6.92642E+11,7.45522E+11,8.51963E+11,1.05258E+12,9.26448E+11,1.14426E+12,1.39428E+12,1.54341E+12,1.5737E+12,1.46496E+12,1.34903E+12,1.20804E+12,1.32342E+12
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,17578.61894,17468.94619,21680.98969,22410.91174,24880.16407,24081.52781,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27174.29716,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51704.54119,44206.78428,44731.01086,47290.91165
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062906915,8976207713,9632155053,11074822074,13150166755,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,28776595745,30749308511,32539547872,33387712766,31125851064,32152686170,35307127660
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,26579005760,28781714764,31598341234,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49724E+11
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1.63168E+11,1.651E+11,2.06431E+11,2.11638E+11,2.36038E+11,2.25925E+11,2.46195E+11,2.89567E+11,2.81358E+11,2.54814E+11,2.60602E+11,2.60202E+11,2.37905E+11,2.37842E+11,2.5886E+11,3.19003E+11,3.70885E+11,3.87366E+11,4.09813E+11,4.71821E+11,5.18626E+11,4.84553E+11,4.83548E+11,5.27008E+11,4.97884E+11,5.20925E+11,5.30771E+11,4.5504E+11,4.67546E+11,4.92681E+11
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,314900000,363150000,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114222550,1217467600,1290573400,1368625150,1336957250,1397113450,1487005600,1573670250,1612573850,1703951050,1778567600,1820158550,1838000000
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,3.30397E+11,4.25595E+11,4.61952E+11,6.0286E+11,4.00599E+11,4.37799E+11,5.58112E+11,7.69305E+11,8.50426E+11,8.832E+11,8.63723E+11,5.99389E+11,6.55421E+11,5.59372E+11,5.07962E+11,5.5832E+11,6.69317E+11,8.9163E+11,1.10764E+12,1.39708E+12,1.69582E+12,1.66702E+12,2.20887E+12,2.6162E+12,2.46519E+12,2.47281E+12,2.45599E+12,1.80221E+12,1.79399E+12,2.05551E+12
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,13063422619,10109612142,11195612105,14630992956,13495075366,13153016531,14075616789,16276456428,20982685981,25957970922,29636617750,34130122491,44411476557,54409138498,51884481410,50610058210,57418414504,53903022339,55758754072,56731990232,50199104511,53240893665,56831518294
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,143766666.7,153374074.1,166322222.2,180437037,191759259.3,200418518.5,215459259.3,224037037,236444444.4,245781481.5,258440740.7,267740740.7,335845814.8,343119370.4,337695740.7,350091222.2,374771481.5,370370370.4,390370370.4,421375851.9,458190185.2,489074333.3,493824407.4,501025296.3,485998000,501979259.3,523666333.3,535095851.9,581484037,562540740.7
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,12493286762,11140055364,11151578051,12434370005,11396310990,15498179313,10600157684,9643953175,10513387442,10833497458,10612847429,11198378749,10083937740,10371327756,11579343088,14548845765,17430933517,17944084201,19356046328,22365265026,26409781215,26017925552,26143818510,29337006833,29104437355,32348149947,34942948737,30916218544,32217537943,34798596482
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,5.07354E+11,5.65056E+11,5.9393E+11,6.10328E+11,5.92388E+11,5.77171E+11,5.78139E+11,6.04032E+11,6.28546E+11,6.52825E+11,6.31813E+11,6.76083E+11,7.42293E+11,7.3638E+11,7.57951E+11,8.92381E+11,1.0232E+12,1.16936E+12,1.31542E+12,1.46498E+12,1.54913E+12,1.37115E+12,1.61346E+12,1.78865E+12,1.82429E+12,1.84263E+12,1.79927E+12,1.55962E+12,1.53577E+12,1.65304E+12
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,26040229793,29885685143,33113887818,37834793730,45964327559,49297773130,57008425296,73447063319,78039572222,84952360922,81577430181,75173794497,77860932152,70979923960,69736811435,75643459840,99210392858,1.22965E+11,1.54788E+11,1.73606E+11,1.79638E+11,1.72389E+11,2.18538E+11,2.52252E+11,2.67122E+11,2.78384E+11,2.60584E+11,2.43999E+11,2.50036E+11,2.77076E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,3.12354E+11,3.47768E+11,3.60858E+11,3.83373E+11,4.26916E+11,4.44731E+11,5.64325E+11,7.34548E+11,8.63747E+11,9.61604E+11,1.02904E+12,1.094E+12,1.21135E+12,1.3394E+12,1.47055E+12,1.66029E+12,1.95535E+12,2.28597E+12,2.75213E+12,3.55218E+12,4.59821E+12,5.10995E+12,6.10062E+12,7.57255E+12,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,1.1191E+13,1.22377E+13
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,39212550050,39540080200,40274204595,41239551378,49279585355,55802538219,81703500846,92507279383,97160109278,1.0666E+11,98443739941,86186158685,99886577331,98203546156,97933391976,94684584163,1.17075E+11,1.46566E+11,1.6259E+11,2.07416E+11,2.43982E+11,2.33822E+11,2.87018E+11,3.35415E+11,3.6966E+11,3.80192E+11,3.78196E+11,2.9152E+11,2.80091E+11,3.09191E+11
